From,To,Label,Desc
enterobacter_cloacae,macconkey_agar,testing,pink colonies
enterobacter_cloacae,flagellum,motility,
enterobacter_cloacae,nosocomial,environment,
serratia_marcescens,pneumonia,symptom,
serratia_marcescens,uti,symptom,
serratia_marcescens,resistance,possesses,
serratia_marcescens,fermentation,lactose,
serratia_marcescens,macconkey_agar,testing,"pink colonies, forms pink pigment in shower"
serratia_marcescens,flagellum,motility,
serratia_marcescens,nosocomial,environment,
klebsiella_pneumoniae,enterobacter_cloacae,related,
enterobacter_cloacae,serratia_marcescens,related,
serratia_marcescens,klebsiella_pneumoniae,related,
non_typhoid_salmonella,flagellum,motility,
non_typhoid_salmonella,capsule,polysaccharide,
non_typhoid_salmonella,intracellular,facultative,within macrophages
non_typhoid_salmonella,macrophage,infects,infects and travels with macrophages
non_typhoid_salmonella,m_cell,infects,cross gastrointestinal mcells to disseminate
non_typhoid_salmonella,acid_solubility,labile,
non_typhoid_salmonella,hektoen_agar,testing,black colonies
non_typhoid_salmonella,type_three_secretion,secretion,injects effector proteins directly into host cells and allows endocytosis
non_typhoid_salmonella,phagolysosome,disables,effector proteins inhibit phagosome-lysosome fusion
non_typhoid_salmonella,water,spread,
non_typhoid_salmonella,food_poisoning,poultry,poultry is #1 reservoir
non_typhoid_salmonella,animal_contact,spread,
non_typhoid_salmonella,bacteremia,exacerbation,
non_typhoid_salmonella,gastroenteritis,symptom,
non_typhoid_salmonella,septic_shock,symptom,
non_typhoid_salmonella,vascular_injury,symptom,
non_typhoid_salmonella,meningitis,symptom,
non_typhoid_salmonella,osteomyelitis,symptom,
non_typhoid_salmonella,antibiotic,treatment,usually self limiting but antibiotics may be indicated in severe cases
typhoidal_salmonella,flagellum,motility,
typhoidal_salmonella,capsule,polysaccharide,"VI antigen resists neutrophilic response, inhibits chemotaxis, interferes with complement and oxidative burst"
typhoidal_salmonella,intracellular,facultative,macrophages
typhoidal_salmonella,m_cell,infects,
typhoidal_salmonella,acid_solubility,labile,
typhoidal_salmonella,hektoen_agar,testing,black colonies
typhoidal_salmonella,type_three_secretion,secretion,injects effector proteins directly into host cells and allows endocytosis
typhoidal_salmonella,fever,symptom,"typhoid fever is enteric, meaning is progressively gets higher and infects bone marrow"
typhoidal_salmonella,fecal_oral,spread,humans are only reservoir host of typhoidal
typhoidal_salmonella,asymptomatic,state,colonizes gallbladder in carrier state
typhoidal_salmonella,monocyte,defense,monocytic immune response
typhoidal_salmonella,bradycardia,symptom,
typhoidal_salmonella,macule,symptom,may present with rose-colored macules (kind of like petechial rash)
typhoidal_salmonella,anemia,symptom,
typhoidal_salmonella,hepatosplenomegaly,symptom,
typhoidal_salmonella,intestinal_bleeding,affects,intestinal bleeding and perforation
typhoidal_salmonella,leukopenia,symptom,
typhoidal_salmonella,vaccine,injectable/conjugate vaccine,vi capsular polysaccharide conjugated with tetanus toxoid protein
typhoidal_salmonella,biofilm,builds,
sec_pathway,type_two_secretion,dependent,
sec_pathway,type_five_secretion,dependent,
sec_pathway,type_three_secretion,independent,
sec_pathway,type_four_secretion,independent,
sec_pathway,type_one_secretion,independent,
shigella,acid_solubility,stable,stability leads to low load to cause infection
shigella,m_cell,infects,escapes through phagolysosome
shigella,actin_rocket,motility,
shigella,intracellular,facultative,
shigella,bloody_stool,symptom,
shigella,leukocyte,defense,leukocytes observed
shigella,diarrhea,symptom,inflammatory
shigella,type_three_secretion,secretion,inflammatory cytokines
shigella,exotoxin,shiga toxin,"glomerular damage, inhibits 60s subunit of ribosomes"
shigella,thrombocytopenia,symptom,drop in platelets
shigella,schistocyte,symptom,lysed red blood cells
shigella,hus,symptom,
shigella,lipopolysaccharide,toxin,
escherichia_coli,fermentation,lactose,
escherichia_coli,macconkey_agar,testing,pink colonies
escherichia_coli,eosin_methylene_blue_agar,testing,green sheen
escherichia_coli,capsule,polysaccharide,
escherichia_coli,catalase,positive,
escherichia_coli,pili,possesses,#1 cause of UTI
escherichia_coli,sepsis,symptom,#1 cause of gram negative sepsis
escherichia_coli,lipopolysaccharide,toxin,
escherichia_coli,meningitis,neonatal,K antigen
escherichia_coli,enterohemorrhagic_ecoli,type,0157H7 antigen is the main serotype for outbreaks
escherichia_coli,enterotoxigenic_ecoli,type,
escherichia_coli,enteropathogenic_ecoli,type,
escherichia_coli,enteroinvasive_ecoli,type,
escherichia_coli,neonate,meningitis,K antigen
enterohemorrhagic_ecoli,food_poisoning,undercooked meat,
enterohemorrhagic_ecoli,bloody_stool,symptom,
enterohemorrhagic_ecoli,fermentation,not sorbitol,
enterohemorrhagic_ecoli,exotoxin,shiga-like toxin,inhibits 60s unit of ribosomes
enterohemorrhagic_ecoli,hus,symptom,
hus,glomerulus,damage,
hus,thrombocytopenia,involves,
hus,schistocyte,involves,
enterotoxigenic_ecoli,diarrhea,symptom,watery
enterotoxigenic_ecoli,water,spread,common in Mexico
enterotoxigenic_ecoli,heat_solubility,both,"heat labile toxin increases cAMP - similar to cholera toxin, heat stable toxin increases cGMP - similar to yersinia enterocolitica"
enterotoxigenic_ecoli,exotoxin,2 types,"heat labile toxin increases cAMP - similar to cholera toxin, heat stable toxin increases cGMP - similar to yersinia enterocolitica"
enterotoxigenic_ecoli,vibrio_cholera,similar,heat labile is similar to cholera toxin
yersinia_enterocolitica,animal_contact,puppy feces,toddlers commonly infected
yersinia_enterocolitica,food_poisoning,contaminated milk,
yersinia_enterocolitica,psychrophilic,grows,cold resistant
yersinia_enterocolitica,capsule,polysaccharide,
yersinia_enterocolitica,appendicitis,mimics,
yersinia_enterocolitica,gut,affects,
yersinia_enterocolitica,leukocytosis,symptom,
yersinia_enterocolitica,fever,symptom,
yersinia_enterocolitica,abscess,symptom,
yersinia_enterocolitica,lymphadenopathy,symptom,mesenteric lymph node enlargement
yersinia_enterocolitica,enterotoxigenic_ecoli,similar,heat stable toxin similar
yersinia_pestis,animal_contact,rats and prairie dogs,
yersinia_pestis,flea,vector,
yersinia_pestis,lymphadenopathy,symptom,"bubos, responsible for bubonic plague"
yersinia_pestis,abscess,symptom,
yersinia_pestis,dic,symptom,endotoxin necrosis
yersinia_pestis,exotoxin,yersinia associated proteins,inhibits phagocytosis and cytokine production
yersinia_pestis,type_three_secretion,secretion,
yersinia_pestis,vaccine,killed,
campylobacter_jejuni,thermophilic,grows,at 42C
campylobacter_jejuni,animal_contact,poultry,intestinal tracts of animals (especially poultry)
campylobacter_jejuni,fecal_oral,spread,
campylobacter_jejuni,bloody_stool,symptom,diarrhea
campylobacter_jejuni,oxidase,positive,
campylobacter_jejuni,bacteremia,exacerbation,
campylobacter_jejuni,arthritis,reactive,
campylobacter_jejuni,guillain_barre,symptom,ascending demyelination
guillain_barre,pns,demyelination,
vibrio_cholera,tcbs_agar,testing,
vibrio_cholera,oxidase,positive,
vibrio_cholera,diarrhea,symptom,rice water like
vibrio_cholera,alkaline_media,grows,
vibrio_cholera,acid_solubility,labile,
vibrio_cholera,pili,attaches,"to intestinal wall, toxin coregulated"
vibrio_cholera,exotoxin,cholera toxin,"activates Gs, elevates cAMP, increases Cl secretion into gut lumen and causes diarrhea, GM1 ganglioside is attachment of toxin"
vibrio_cholera,water,treatment/spread,"copious amounts of oral rehydration, also spread from contaminated water"
vibrio_vulnificus,tcbs_agar,testing,
vibrio_vulnificus,physiology,siderophores,iron uptake
vibrio_vulnificus,necrotizing_fasciitis,symptom,"severe wound infections from raw shellfish, flesh eating"
vibrio_vulnificus,lipopolysaccharide,toxin,endotoxin
vibrio_vulnificus,animal_contact,shellfish,
vibrio_parahaemolyticus,tcbs_agar,testing,
vibrio_parahaemolyticus,animal_contact,raw oysters,
vibrio_parahaemolyticus,exotoxin,TDH,thermostable direct hemolysin
vibrio_parahaemolyticus,enterotoxin,toxin,
vibrio_parahaemolyticus,diarrhea,symptom,watery but less severe than cholera
vibrio_parahaemolyticus,type_three_secretion,secretion,
vibrio_parahaemolyticus,water,treatment,rehydration
helicobacter_pylori,flagellum,motility,
helicobacter_pylori,urease,positive,"urea to ammonia + CO2, reduces acidity of stomach/pylorus"
helicobacter_pylori,urea_breath_test,testing,higher concentration of co2 indicates h.p. infection
helicobacter_pylori,malt,infects,
helicobacter_pylori,neoplasia,exacerbation,gastric adenocarcinoma
helicobacter_pylori,ulcer,symptom,duodenal
helicobacter_pylori,oxidase,positive,
proteus_mirabilis,flagellum,motility,swarming motility
proteus_mirabilis,kidney,affects,"struvite stones can cause kidney stones, staghorn calculi"
proteus_mirabilis,urease,positive,alkaline environment forms calculi
proteus_mirabilis,uti,symptom,
proteus_mirabilis,oxygen_metabolism,facultative anaerobe,
bordetella_pertussis,airway,affects,ciliated epithelial cells
bordetella_pertussis,droplet,spread,
bordetella_pertussis,pili,possesses,filamentous hemagglutinin is the main adhesin
bordetella_pertussis,neutrophil,affects,disables activation
bordetella_pertussis,lymphocyte,affects,disables activation
bordetella_pertussis,exotoxin,"pertussis toxin, tracheal cytotoxin","pertussis toxin disrupts Gi protein by ribosylating ADP, causing increased cAMP, disables chemokine receptors on lymphocytes, inhibits neutrophil activation"
bordetella_pertussis,vaccine,"killed, acellular (DTaP)",purified antigens along with diphtheria and tetanus toxins
bordetella_pertussis,mesophilic,regulation,"at colder temperatures and nutrient environments, toxin synthesis is turned off"
bordetella_pertussis,corynebacterium_diphtheriae,vaccine,combined
bordetella_pertussis,clostridium_tetani,vaccine,combined
haemophilus_influenzae,chocolate_agar,grows,requires factor 5 and 10 (NAD + hemin)
haemophilus_influenzae,aerosol,spread,
haemophilus_influenzae,pneumonia,symptom,
haemophilus_influenzae,epiglottitis,symptom,"cherry red, emergency"
haemophilus_influenzae,capsule,polysaccharide,type B strain
haemophilus_influenzae,protease,enzyme,type B strain
haemophilus_influenzae,lipopolysaccharide,toxin,endotoxin
haemophilus_influenzae,otitis_media,symptom,
haemophilus_influenzae,meningitis,symptom,more common in children
haemophilus_influenzae,sepsis,symptom,
haemophilus_influenzae,spleen,complication,asplenic or sickle cell patients higher risk
haemophilus_influenzae,vaccine,capsule vaccine,"DIP - polysaccharide + diphtheria toxin, 2-18 months injection. DIP toxin increases t-dependent response which is stronger"
haemophilus_influenzae,prophylaxis,prevents,"rifampin, close contacts with children"
legionella_pneumophila,silver_stain,testing,along with buffered charcoal yeast extract with cysteine and rion
legionella_pneumophila,oxidase,positive,
legionella_pneumophila,pneumonia,symptom,"legionnaires disease, atypical pneumonia, uniglobal infiltrate on xray, smokers and old workspaces/conferences"
legionella_pneumophila,headache,symptom,
legionella_pneumophila,cns,confusion,
legionella_pneumophila,fever,symptom,"pontiac fever, high, self limited, malaise"
legionella_pneumophila,hyponatremia,symptom,
legionella_pneumophila,urine_antigen_test,testing,
pseudomonas_aeruginosa,water,spread,"thrives in aquatic environments, swimmer's ear"
pseudomonas_aeruginosa,oxidase,positive,
pseudomonas_aeruginosa,catalase,positive,
pseudomonas_aeruginosa,cgd,complication,
pseudomonas_aeruginosa,oxygen_metabolism,obligate aerobe,
pseudomonas_aeruginosa,cystic_fibrosis,complication,pulmonary infection
pseudomonas_aeruginosa,pneumonia,symptom,
pseudomonas_aeruginosa,nosocomial,environment,"catheter, utis"
pseudomonas_aeruginosa,osteomyelitis,symptom,"iv drug users and diabetics, fatal in burn patients"
pseudomonas_aeruginosa,capsule,polysaccharide,
pseudomonas_aeruginosa,sepsis,symptom,
pseudomonas_aeruginosa,folliculitis,symptom,hot tub
pseudomonas_aeruginosa,exotoxin,exotoxin A,"along with elastase, and phospholipase C, causes tissue damage to create iron"
pseudomonas_aeruginosa,physiology,siderophores,iron uptake pyocyanin and pyoverdin
pseudomonas_aeruginosa,necrosis,ecthyma gangrenosum,black necrotic skin lesions
pseudomonas_aeruginosa,lesion,ecthyma gangrenosum,
pseudomonas_aeruginosa,corynebacterium_diphtheriae,similar,exotoxin A is similar to diphtheria and ribosylates EF2
burkholderia_pseudomallei,catalase,positive,
burkholderia_pseudomallei,oxygen_metabolism,obligate aerobe,
burkholderia_pseudomallei,oxidase,positive,
burkholderia_pseudomallei,water,spread,"wet season, tropical areas"
burkholderia_pseudomallei,soil,spread,
burkholderia_pseudomallei,pneumonia,symptom,similar to tb without cavitary lesions
burkholderia_cepacia_complex,catalase,positive,
burkholderia_cepacia_complex,oxidase,positive,
burkholderia_cepacia_complex,oxygen_metabolism,obligate aerobe,
burkholderia_cepacia_complex,soil,spread,
burkholderia_cepacia_complex,water,spread,
burkholderia_cepacia_complex,cystic_fibrosis,complication,
burkholderia_cepacia_complex,pneumonia,symptom,necrotizing
burkholderia_cepacia_complex,immunocompromised,complication,
burkholderia_cepacia_complex,bacteremia,exacerbation,
burkholderia_cepacia_complex,encephalomyelitis,symptom,
burkholderia_cepacia_complex,abscess,symptom,
burkholderia_cepacia_complex,resistance,possesses,multiple drugs
bartonella_quintana,louse,vector,
bartonella_quintana,immunocompromised,complication,
bartonella_quintana,fever,symptom,trench fever
bartonella_henselae,warthin_starry_stain,testing,
bartonella_henselae,silver_stain,testing,
bartonella_henselae,fever,symptom,cat scratch fever
bartonella_henselae,lymphadenopathy,symptom,
bartonella_henselae,immunocompetent,affects,cat scratch fever
bartonella_henselae,neoplasia,similar,vascular lesions also in kaposi's sarcoma
bartonella_henselae,immunocompromised,affects,bacillary angiomatosis
bartonella_henselae,lesion,symptom,"vascular, in bacillary angiomatosis"
bartonella_henselae,animal_contact,cat scratches/bites,
brucella_species,oxygen_metabolism,obligate aerobe,
brucella_species,animal_contact,farm animals,
brucella_species,food_poisoning,unpasteurized milk products,
brucella_species,intracellular,facultative,"macrophages, reticuloendothelial system"
brucella_species,macrophage,infects,
brucella_species,flu-like,symptom,"fever, chills, anorexia"
brucella_species,fever,symptom,undulating
brucella_species,liver,affects,enlargement
brucella_species,spleen,affects,enlargement
brucella_species,lymphadenopathy,symptom,
brucella_species,osteomyelitis,symptom,
francisella_tularensis,intracellular,facultative,affects phagocytes
francisella_tularensis,ulcer,symptom,tularemia
francisella_tularensis,necrosis,symptom,tularemia
francisella_tularensis,lesion,symptom,tularemia
francisella_tularensis,granuloma,symptom,tularemia
francisella_tularensis,animal_contact,rabbits,rabbits are primary reservoir
francisella_tularensis,tick,vector,dermacentor tick
francisella_tularensis,aerosol,spread,very contagious
francisella_tularensis,lymphadenopathy,symptom,regional
pasteurella_multocida,catalase,positive,
pasteurella_multocida,oxidase,positive,
pasteurella_multocida,capsule,polysaccharide,main virulence factor
pasteurella_multocida,sheep_blood,grows,"grows on 5% sheep's blood, bipolar safety pin staining"
pasteurella_multocida,animal_contact,dog/cat bites,"respiratory tract of small animals, dog/cat bites"
pasteurella_multocida,cellulitis,symptom,
pasteurella_multocida,necrotizing_fasciitis,symptom,
pasteurella_multocida,lymphadenopathy,symptom,
pasteurella_multocida,liver,complication,liver disease higher at risk
pasteurella_multocida,copd,complication,copd individuals higher risk
anaplasma_phagocytophilum,intracellular,obligate,"vacuoles of leukocytes, morulae"
anaplasma_phagocytophilum,granulocyte,infects,
anaplasma_phagocytophilum,tick,vector,black legged ixodes tick
anaplasma_phagocytophilum,animal_contact,mouse and deer,"mouse is larva for tick, white tailed deer is adult"
anaplasma_phagocytophilum,gut,symptom,anaplasmosis
anaplasma_phagocytophilum,wright_giemsa_stain,testing,peripheral blood smear
anaplasma_phagocytophilum,flu-like,symptom,anaplasmosis
anaplasma_phagocytophilum,rash,NO RASH,
anaplasma_phagocytophilum,pancytopenia,symptom,
ehrlichia_chaffeensis,intracellular,obligate,"vacuoles of leukocytes, morulae ""mulberry"" inclusions"
ehrlichia_chaffeensis,tick,vector,lone star tick (amblyomma Americanum)
ehrlichia_chaffeensis,animal_contact,white tailed deer ,vector for lone star tick
ehrlichia_chaffeensis,flu-like,symptom,ehrlichiosis
ehrlichia_chaffeensis,gut,symptom,ehrlichiosis
ehrlichia_chaffeensis,rash,NO RASH,
ehrlichia_chaffeensis,pancytopenia,symptom,
ehrlichia_chaffeensis,monocyte,infects,
mycobacterium_tuberculosis,acid_fast,stains,mycolic acid in carbol-fuchsin stain
mycobacterium_tuberculosis,lowenstein-jensen_agar,testing,
mycobacterium_tuberculosis,oxygen_metabolism,obligate aerobe,
mycobacterium_tuberculosis,intracellular,obligate,
mycobacterium_tuberculosis,macrophage,infects,
mycobacterium_tuberculosis,cell_membrane,contains,"cord factor (trehalose dimycolate acid) forms cords when plated, PIM and LAM are other structures found in the mycobacterial cell membrane. Cord factor is the main virulence factor."
mycobacterium_tuberculosis,inflammation,symptom,cord factor
mycobacterium_tuberculosis,granuloma,symptom,"cord factor, caseous, necrotic"
mycobacterium_tuberculosis,phagolysosome,affects,sulfatides inhibit phagosome-lysosome fusion
mycobacterium_tuberculosis,pneumonia,symptom,middle and lower parts of lung on CXR
mycobacterium_tuberculosis,heat_solubility,labile,
mycobacterium_tuberculosis,catalase,positive,
mycobacterium_tuberculosis,lymphadenopathy,symptom,"enlarged hilar lymph nodes and mediastinal lymph nodes, ghon complex"
mycobacterium_tuberculosis,lesion,symptom,lung cavitary lesions
mycobacterium_tuberculosis,calcification,symptom,"ghon complex, encapsulates bacteria within lung tissue"
mycobacterium_tuberculosis,asymptomatic,state,"latent tb, can be reactivated by TNF inhibitors and immunosuppressants"
mycobacterium_tuberculosis,fibrosis,symptom,
mycobacterium_tuberculosis,ppd_skin_test,testing,"antibodies create indurations, diagnosis is based on height and several other risk factors. BCG vaccine causes false positives in pdd"
mycobacterium_tuberculosis,hematogenous,exacerbation,"miliary TB, potentially fatal"
mycobacterium_tuberculosis,sequelae,secondary-TB,"UPPER LOBE disease and cavitation, hemoptysis, night sweats, anorexia, weight loss"
mycobacterium_tuberculosis,cns,infects,"Pott disease, spine TB"
mycobacterium_tuberculosis,meningitis,symptom,
mycobacterium_tuberculosis,neoplasia,tuberculomas,
mycobacterium_tuberculosis,prophylaxis,prevents,rifampin for reactivation of latent TB
mycobacterium_tuberculosis,aerosol,spread,
mycobacterium_leprae,acid_fast,stains,
mycobacterium_leprae,psychrophilic,grows,extremities
mycobacterium_leprae,animal_contact,infects,armadillos
mycobacterium_leprae,t-cell,response,
mycobacterium_leprae,lesion,symptom,
mycobacterium_leprae,lepromin_skin_test,testing,
mycobacterium_leprae,contact,spread,
tuberculoid_leprosy,lesion,symptom,"hairless, well demarcated"
tuberculoid_leprosy,lepromin_skin_test,stronger response,"nodule formation, stronger immune response"
tuberculoid_leprosy,t-cell,Th1 mediated,
lepromatous_leprosy,lepromin_skin_test,weaker response,"no nodule formation, more widespread lesions and higher load"
lepromatous_leprosy,lesion,symptom,"poorly demarcated, long john"
lepromatous_leprosy,t-cell,Th2 response,failure of macrophage containment
lepromatous_leprosy,neuropathy,symptom,"glove and stocking neuropathy, loss of sensitivity in extremities"
lepromatous_leprosy,papule,symptom,
lepromatous_leprosy,macule,symptom,
lepromatous_leprosy,nodule,symptom,"earlobes, associated with leonine facies"
mycobacterium_avium_intracellulare,copd,symptom,
mycobacterium_avium_intracellulare,mycobacterium_tuberculosis,similar,similar symptoms
mycobacterium_avium_intracellulare,diarrhea,symptom,watery
mycobacterium_avium_intracellulare,bacteremia,exacerbation,disseminated in immunocompromised patients
mycobacterium_avium_intracellulare,water,spread,
mycobacterium_avium_intracellulare,soil,spread,
mycobacterium_avium_intracellulare,acid_fast,stains,
mycobacterium_avium_intracellulare,macrophage,infects,
mycobacterium_avium_intracellulare,granuloma,symptom,macrophages
mycobacterium_avium_intracellulare,lymphadenopathy,symptom,cervical lymphadenitis
mycobacterium_avium_intracellulare,resistance,possesses,multidrug
hiv,art,treatment,
mycobacterium_avium_intracellulare,hiv,complication,"higher risk if patient has HIV, low CD4"
mycobacterium_avium_intracellulare,prophylaxis,prevents,"macrolide, in HIV patients with CD4 < 50, initiate ART"
mycobacterium_scrofulaceum,acid_fast,stains,
mycobacterium_scrofulaceum,macrophage,infects,
mycobacterium_scrofulaceum,granuloma,symptom,
mycobacterium_scrofulaceum,aerosol,spread,
mycobacterium_scrofulaceum,lymphadenopathy,symptom,unilateral cervical lymphadenitis
mycobacterium_marinum,acid_fast,stains,
mycobacterium_marinum,macrophage,infects,
mycobacterium_marinum,granuloma,symptom,
mycobacterium_marinum,water,spread,"aquariums, infected water, hand infection"
mycobacterium_marinum,animal_contact,"fish, amphibians, reptiles",
borrelia_burgdorferi,tick,vector,"ixodes scapularis in NE in United States, mouse is reservoir, deer is obligatory"
borrelia_burgdorferi,wright_giemsa_stain,testing,
borrelia_burgdorferi,rash,symptom,"erythema chronicum migrans, bull's eye stage 1"
borrelia_burgdorferi,flu-like,symptom,stage 1
borrelia_burgdorferi,myocarditis,symptom,"stage 2, heart block"
borrelia_burgdorferi,cns,symptom,"bilateral bell's palsy in stage 2, cognitive issues in stage 3"
borrelia_burgdorferi,asymptomatic,latent period,
borrelia_burgdorferi,arthritis,symptom,"polyarthritis, stage 3"
borrelia_recurrentis,dark_field_microscopy,testing,
borrelia_recurrentis,wright_giemsa_stain,testing,
borrelia_recurrentis,fever,symptom,relapsing
borrelia_recurrentis,louse,vector,pediculus humanus corporis (human body louse)
borrelia_recurrentis,jaundice,symptom,
borrelia_recurrentis,thrombocytopenia,symptom,
borrelia_recurrentis,jarisch_herxheimer_reaction,complication,treatment with antibiotics
borrelia_hermsii,dark_field_microscopy,testing,
borrelia_hermsii,wright_giemsa_stain,testing,
borrelia_hermsii,fever,symptom,relapsing
borrelia_hermsii,tick,vector,
borrelia_hermsii,borrelia_recurrentis,similar,hermsii is endemic while recurrentis is epidemic
leptospira_interrogans,water,spread,"animal urine contamination, tropical regions"
leptospira_interrogans,flu-like,symptom,
leptospira_interrogans,eye_infection,symptom,conjunctival suffusion - redness without exudates
leptospira_interrogans,exudate,NO EXUDATE,
leptospira_interrogans,bacteremia,exacerbation,"systemic leptospirosis, weil's disease, bloodstream, multiple organ damage"
leptospira_interrogans,kidney,dysfunction,
leptospira_interrogans,liver,dysfunction,
leptospira_interrogans,jaundice,symptom,
leptospira_interrogans,meningitis,symptom,aseptic
treponema_pallidum,cell_membrane,adhesion proteins,
treponema_pallidum,exotoxin,hyaluronidase,perivascular invasion
treponema_pallidum,dark_field_microscopy,testing,
treponema_pallidum,rpr,testing,"fast, purified antibodies"
treponema_pallidum,antibody_test,testing,fluorescent treponemal antibody
treponema_pallidum,sti,cause,
treponema_pallidum,primary_syphilis,stage,
treponema_pallidum,secondary_syphilis,stage,
treponema_pallidum,tertiary_syphilis,stage,
tertiary_syphilis,gumma,symptom,
tertiary_syphilis,aortitis,symptom,
tertiary_syphilis,tabes_dorsalis,symptom,
tertiary_syphilis,argyll-robertson_pupils,symptom,
treponema_pallidum,congenital_syphilis,stage,
treponema_pallidum,jarisch_herxheimer_reaction,complication,"antibiotic treatment, fevers, chills, headache"
chlamydia_trachomatis,eye_infection,symptom,"A-C, can be neonatal"
chlamydia_trachomatis,uveitis,symptom,"A-C, reiter's syndrome"
chlamydia_trachomatis,urethritis,symptom,"A-C, reiter's syndrome"
chlamydia_trachomatis,arthritis,symptom,"A-C, reiter's syndrome"
chlamydia_trachomatis,intracellular,obligate,
chlamydia_trachomatis,atp,none,cannot produce own atp
chlamydia_trachomatis,peptidoglycan,none,no muramic acid
chlamydia_trachomatis,granular_inclusion,seen,within cells
chlamydia_trachomatis,wright_giemsa_stain,testing,
chlamydia_trachomatis,pcr,testing,
chlamydia_trachomatis,sti,cause,D-K
chlamydia_trachomatis,neisseria_gonorrhoeae,similar,"later conjunctivitis in neonates than gonorrhea, coinfection treat with ceftriaxone"
chlamydia_trachomatis,exudate,symptom,"watery discharge, D-K"
chlamydia_trachomatis,pid,symptom,"infertility, D-K"
chlamydia_trachomatis,neonate,affects,
chlamydia_trachomatis,lymphadenopathy,symptom,"lymphogranuloma venereum, inguinal node infection, L1-L3"
chlamydophila_pneumoniae,pneumonia,symptom,atypical
chlamydophila_pneumoniae,intracellular,obligate,
chlamydophila_pneumoniae,atp,none,cannot produce own atp
chlamydophila_pneumoniae,peptidoglycan,none,no muramic acid
chlamydophila_pneumoniae,granular_inclusion,seen,within cells
chlamydophila_pneumoniae,wright_giemsa_stain,testing,
chlamydophila_pneumoniae,pcr,testing,
chlamydophila_pneumoniae,sinusitis,symptom,
chlamydophila_psittaci,pneumonia,symptom,atypical
chlamydophila_psittaci,intracellular,obligate,
chlamydophila_psittaci,atp,none,cannot produce own atp
chlamydophila_psittaci,peptidoglycan,none,no muramic acid
chlamydophila_psittaci,granular_inclusion,seen,within cells
chlamydophila_psittaci,wright_giemsa_stain,testing,
chlamydophila_psittaci,pcr,testing,
chlamydophila_psittaci,animal_contact,birds,
coxiella_burnetii,rash,NONE,
coxiella_burnetii,q-fever,symptom,
coxiella_burnetii,intracellular,obligate,
coxiella_burnetii,endospore,form,spore like in animal poop
coxiella_burnetii,aerosol,spread,
coxiella_burnetii,pneumonia,atypical,
coxiella_burnetii,headache,symptom,
coxiella_burnetii,hepatitis,symptom,
coxiella_burnetii,animal_contact,milk,
coxiella_burnetii,vaccine,acellular,
coxiella_burnetii,granuloma,symptom,"lungs, liver, bone marrow, spleen"
coxiella_burnetii,endocarditis,symptom,
gardnerella_vaginalis,uti,symptom,bacterial vaginosis - imbalance of flora
gardnerella_vaginalis,exudate,"greyish white, fishy odor",
gardnerella_vaginalis,oxygen_metabolism,anaerobic,more growth
gardnerella_vaginalis,physiology,pH,"more basic, from 5 to 6.5 instead of normal 4.5"
gardnerella_vaginalis,whiff_test,testing,"10% KOH, pungent odor"
mycoplasma_pneumoniae,peptidoglycan,none,lacks cell wall
mycoplasma_pneumoniae,cell_membrane_sterols,contains,exception of bacteria to contain this
mycoplasma_pneumoniae,pneumonia,symptom,"atypical, walking, appears worse on xray, patchy infiltrates"
mycoplasma_pneumoniae,contact,close contact between young adults,
mycoplasma_pneumoniae,cold_agglutinins_test,testing,"IgM agglutinins bind to surface of rbcs at low temperature, causing clumping and hemolysis"
mycoplasma_pneumoniae,eaton's_agar,testing,
rickettsia_rickettsii,intracellular,obligate,cannot produce CoA and NAD
rickettsia_rickettsii,headache,symptom,
rickettsia_rickettsii,vascular_injury,symptom,
rickettsia_rickettsii,petechial_rash,symptom,"or maculopapular, starts at extremities and progresses to trunk"
rickettsia_rickettsii,rocky_mountain_spotted_fever,symptom,2-14 day incubation
rickettsia_rickettsii,tick,vector,dermacentor tick
rickettsia_rickettsii,myalgia,symptom,
rickettsia_prowazekii,contact,spread,military camp recruits and POW
rickettsia_prowazekii,louse,vector,"human louse feces, scratching"
rickettsia_prowazekii,rash,symptom,"centrally then outward, spares extremities"
rickettsia_prowazekii,myalgia,symptom,
rickettsia_prowazekii,arthritis,symptom,
rickettsia_prowazekii,pneumonia,symptom,
rickettsia_prowazekii,encephalitis,symptom,
rickettsia_prowazekii,coma,symptom,
rickettsia_prowazekii,intracellular,obligate,cannot produce CoA and NAD
bacteroides_fragilis,oxygen_metabolism,obligate anaerobe,
bacteroides_fragilis,capsule,polysaccharide,
bacteroides_fragilis,bile,stable,
bacteroides_fragilis,gut,colonizes,
bacteroides_fragilis,abscess,symptom,
bacteroides_fragilis,ulcer,symptom,
bacteroides_fragilis,endocarditis,symptom,
bacteroides_corrodens,bile,stable,
bacteroides_corrodens,oxidase,positive,
bacteroides_corrodens,gut,colonizes,
bacteroides_corrodens,bacteremia,exacerbation,severe invasive disease
cgd,oxidative_burst,inhibits,
macule,cyst,skin infection,
cyst,folliculitis,skin infection,
folliculitis,impetigo,skin infection,
impetigo,erysipelas,skin infection,
erysipelas,cellulitis,skin infection,
cellulitis,abscess,skin infection,
macule,papule,skin infection,
papule,furuncle,skin infection,
furuncle,carbuncle,skin infection,
cold_agglutinins_test,immunoglobulin,affects,
vaccine,immunoglobulin,produces,
natural_penicillin,borrelia_recurrentis,treatment,
